# sorteny_fq_calibration_tsv_v1
# model	mse=c0+c1/(mod_a*lambda+mod_b)^2
# sweep	<repo>/output/checkpoints/20260613_lambda005_recalibration_audit/sweeps/canonical/sweep_results.json
# weights	<repo>/weights/encoder
# max_lambda	0.05
# q_min	64
# q_max	255
# q_baseline	204
# mod_a	884.459481
# mod_b	13.9541889
# mod_r2	1
block_y	block_x	c0	c1	r2	valid	q_baseline	q_min	q_max	max_lambda	mod_a	mod_b	mse_at_baseline
3	3	201.9103531758184	361871.3489101664	0.9781205114911302	1	204	64	255	0.05	884.4594814498472	13.954188939546285	350.60206092731835
3	4	111.18572703226971	405878.58403958526	0.9947612238875326	1	204	64	255	0.05	884.4594814498472	13.954188939546285	277.95985817683993
3	5	358.8465738458927	406679.7372118371	0.9452803242109191	1	204	64	255	0.05	884.4594814498472	13.954188939546285	525.9498961068954
3	6	215.19240600728	408605.2753929311	0.9893929145608987	1	204	64	255	0.05	884.4594814498472	13.954188939546285	383.0869253645708
3	7	90.92825184095574	354324.89782783383	0.9945997008368351	1	204	64	255	0.05	884.4594814498472	13.954188939546285	236.51914848299774
3	8	185.06004161188034	319770.3916643955	0.9842666118009946	1	204	64	255	0.05	884.4594814498472	13.954188939546285	316.45260907581746
3	9	306.74999668126804	391480.3967076082	0.9758318131917473	1	204	64	255	0.05	884.4594814498472	13.954188939546285	467.60796157126936
3	10	158.46392263476793	393842.25240960415	0.9929968858807656	1	204	64	255	0.05	884.4594814498472	13.954188939546285	320.29236600793746
3	11	213.60578990797015	274411.79629698774	0.9401360787468725	1	204	64	255	0.05	884.4594814498472	13.954188939546285	326.36066464850956
3	12	83.9480912345555	254121.9116140565	0.9918585325038788	1	204	64	255	0.05	884.4594814498472	13.954188939546285	188.3659212970013
3	13	34.59908943838778	275619.8475984086	0.9989612623429296	1	204	64	255	0.05	884.4594814498472	13.954188939546285	147.8503483541338
3	14	52.19096753739126	243095.16859660912	0.9925748771276067	1	204	64	255	0.05	884.4594814498472	13.954188939546285	152.07794635908797
3	15	27.48412995524572	285627.0687502987	0.9971605373276379	1	204	64	255	0.05	884.4594814498472	13.954188939546285	144.8473220411717
3	16	20.870787009112064	296117.65920741577	0.9954246454073138	1	204	64	255	0.05	884.4594814498472	13.954188939546285	142.54452707041136
3	17	25.178623616620058	292184.8933276085	0.9977327761434586	1	204	64	255	0.05	884.4594814498472	13.954188939546285	145.23640354010655
3	18	12.567066381651188	284790.9047788372	0.995999829024308	1	204	64	255	0.05	884.4594814498472	13.954188939546285	129.58668153270426
3	19	18.90632824753908	265202.07540099433	0.99658708149675	1	204	64	255	0.05	884.4594814498472	13.954188939546285	127.87695996341203
3	20	8.522615925826585	286578.70567948587	0.9967670645153605	1	204	64	255	0.05	884.4594814498472	13.954188939546285	126.27683239261717
3	21	9.789946789727935	271075.6045843159	0.9950441125781267	1	204	64	255	0.05	884.4594814498472	13.954188939546285	121.17399169077451
3	22	7.6652732956133605	271410.2012456279	0.9988829935721306	1	204	64	255	0.05	884.4594814498472	13.954188939546285	119.18680282794745
3	23	9.782221206884032	286483.82408813713	0.9972691252824721	1	204	64	255	0.05	884.4594814498472	13.954188939546285	127.49745115016478
3	24	6.0921410453019575	288830.87704549613	0.9956837972558923	1	204	64	255	0.05	884.4594814498472	13.954188939546285	124.77176707427434
3	25	6.083947234181153	280970.8515248544	0.9969718792154786	1	204	64	255	0.05	884.4594814498472	13.954188939546285	121.53391548241356
3	26	14.095559566477874	266264.9860455398	0.9957461522381437	1	204	64	255	0.05	884.4594814498472	13.954188939546285	123.50293765478592
3	27	2.535757948928989	285386.70416965644	0.9970065616736876	1	204	64	255	0.05	884.4594814498472	13.954188939546285	119.80018504534611
3	28	5.666430510908867	278034.74221132434	0.9949849377588824	1	204	64	255	0.05	884.4594814498472	13.954188939546285	119.90996141811196
3	29	16.141360015716685	259470.4205152383	0.9931703179339773	1	204	64	255	0.05	884.4594814498472	13.954188939546285	122.75687421324513
3	30	2.630062911271125	282488.8152961934	0.9927815252368134	1	204	64	255	0.05	884.4594814498472	13.954188939546285	118.70375731562244
3	31	15.577468945465341	281522.39195157104	0.9979476967313643	1	204	64	255	0.05	884.4594814498472	13.954188939546285	131.25406328108895
4	0	44.61890128445583	291996.6562389598	0.9843672382075777	1	204	64	255	0.05	884.4594814498472	13.954188939546285	164.59933522778215
4	1	66.71984434230043	341401.608586002	0.9922567579024614	1	204	64	255	0.05	884.4594814498472	13.954188939546285	207.0006053438124
4	2	78.98849429193683	402670.36308428284	0.9932757845452406	1	204	64	255	0.05	884.4594814498472	13.954188939546285	244.44437834641627
4	3	97.36568191713104	358399.9017209682	0.9971163597612315	1	204	64	255	0.05	884.4594814498472	13.954188939546285	244.63098381338557
4	4	336.2286518875511	357375.13914845744	0.978047691751119	1	204	64	255	0.05	884.4594814498472	13.954188939546285	483.0728823245554
4	5	651.5839822292694	437458.2525190389	0.9422054752304417	1	204	64	255	0.05	884.4594814498472	13.954188939546285	831.3340918550812
